CUSTOMER_ID,REVIEW_ID,PRODUCT_PART_NUMBER,REVIEW_TITLE,REVIEW_TXT,IS_RECOMMENDED,MODERATION_STATUS,RATING,TOTAL_NEGATIVE_FEEDBACK_COUNT,TOTAL_POSITIVE_FEEDBACK_COUNT,USER_NICKNAME,SUBMISSION_TM,LAST_MODERATED_TM,LAST_MODIFICATION_TM,SOURCE,OPT_COUNTER,CAMPAIGN_ID,USER_LOCATION,NET_PROMOTER_SCORE,NET_PROMOTER_COMMENT,REPLICATION_SYNCED,LEGAL_COMPANY_DESCRIPTION
Anon,255352764,277107,,,false,DELETED,5,0,0,*** PII ***,2024-08-29 23:39:56.000,2024-08-30 01:15:12.000,2024-08-30 01:15:22.503,bazaarvoice,7,PIE,*** PII ***,,,2024-10-04 20:21:52.099,Retail
11267347,238504742,55168,Cheap garbage don't buy,The center part that twists together shattered when my dog dropped it after one day of use.  Junk.,true,APPROVED,1,0,0,*** PII ***,2022-03-31 04:06:37.000,2022-03-31 16:30:26.000,2022-06-29 06:04:00.732,bazaarvoice,1160,,*** PII ***,,,2025-06-09 17:23:14.331,Retail
8714815,218877622,55348,Very good product,Love it gentle enough for even when they have a virus in there eye,true,APPROVED,5,0,0,*** PII ***,2020-04-17 15:36:29.000,2020-04-19 15:45:16.000,2022-08-20 16:15:44.365,bazaarvoice,1220,BV_PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
937991945,254503546,60720,,,true,APPROVED,5,0,0,*** PII ***,2024-07-24 01:17:27.000,2024-07-24 01:30:22.000,2024-07-24 01:45:41.334,bazaarvoice,309,PIE,*** PII ***,10,Because you get it in a timely manner and it’s always of great quality,2025-06-09 17:23:14.331,Retail
53373621,207934249,61516,Great product,"My pet has flea allergies, I tired many different products and spent a lot of money and nothing worked. The Seresto Collar started working within a few days and now her skin is back to normal. Very satisfied.",true,APPROVED,5,0,1,*** PII ***,2019-03-27 22:42:28.000,2019-03-29 22:45:08.000,2019-06-26 05:33:31.287,bazaarvoice,1220,BV_PIE,*** PII ***,10,Love the staff and products,2025-06-09 17:23:14.331,Retail
2694956,104387673,61516,love this product,Vet recommended Seresto and it really lasts for eight months. Just put Seresto collar on and let fleas and ticks be gone. I live in the country and also camp almost every weekend and the collar does keep fleas and ticks off my two dogs. I have used this product for two years and just love it.,true,APPROVED,5,0,9,*** PII ***,2014-11-29 04:26:10.000,2014-11-29 04:45:13.000,2016-08-23 20:46:37.515,bazaarvoice,1220,BV_PIE,*** PII ***,10,It works and no liquid mess . Cost less and lasts longer.,2025-06-09 17:23:14.331,Retail
914621291,246966595,46096,My dog loves,"We were having trouble finding a dog food for my dogs sensitive stomach. He used science diet and I wanted to try something else before buying that. A friend recommended purina one as their dog has a sensitive stomach and has no issues. We got a small bag and our dog loves the ""lamb chop"" pieces. It does not upset his stomach. We bought a cheap dog food to try and he was pooping 4x a day or more.. now he just poops once a day. Will be ordering again.",true,APPROVED,5,0,2,*** PII ***,2023-07-07 01:50:01.000,2023-07-07 02:15:14.000,2025-06-06 15:15:43.169,bazaarvoice,695,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
284873900,250326175,46096,Dog eats it,"But they eat almost anything.  Vet sez it is best food.  I hope so as it costs a lot more than the 4 Health kibble I was getting at Tractor Supply.  Wife sez get it, I obey.",false,REJECTED,5,0,0,*** PII ***,2024-01-09 21:19:52.000,2024-01-09 21:30:19.000,2024-01-09 21:46:22.721,bazaarvoice,505,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
905676250,256339558,45679,,,false,APPROVED,4,0,0,*** PII ***,2024-09-20 22:56:46.000,2024-09-20 23:00:16.000,2024-09-20 23:00:27.283,bazaarvoice,263,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
51946867,214465046,46108,THIS IS GREAT FOOD but...,"I have been feeding my GSD female Royal Canin ever since she was a pup and she has always done well on it.  But now, I'm going to switch her to a different brand because I simply can't afford to pay nearly $70 per month for dog food.  I know it's good food because our vet recommends it but there has to be another brand that's a bit cheaper that will work just as well for her.  My girl absolutely loves Rachel Ray's Roaster Dog Treats so I'm going to try her Nutrish dog kibble which is much more reasonably priced and has nutritious ingredients all made in the USA.  It pains me to do this but with grocery prices continuing to rise, I'm afraid it's time to make a change. Also, we always had GSDs growing up and we just fed them regular dog food...none of this expensive gourmet stuff...and they did fine...so I think the switch will be worth it!",true,APPROVED,4,0,8,*** PII ***,2019-11-16 20:14:21.000,2019-11-18 19:15:26.000,2022-11-28 05:16:19.340,bazaarvoice,1226,,*** PII ***,10,Great service!,2025-06-09 17:23:14.331,Retail
83127927,255446796,46092,,,false,APPROVED,5,0,0,*** PII ***,2024-08-31 21:50:07.000,2024-08-31 22:01:01.000,2024-08-31 22:01:11.692,bazaarvoice,274,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
112536962,252640843,46096,,My 4 year old mini Aussie does wonderfully on this kibble,true,APPROVED,5,0,0,*** PII ***,2024-04-29 21:11:38.000,2024-04-29 21:32:56.000,2024-04-29 21:33:07.485,bazaarvoice,392,PIE,*** PII ***,10,Very good customer service- loads of choices,2025-06-09 17:23:14.331,Retail
270870244,250168238,46096,Goldendoodle loves it,We switched her from PPP to this and she’s loving it.,true,APPROVED,5,0,0,*** PII ***,2024-01-02 19:12:27.000,2024-01-04 19:00:25.000,2024-01-04 19:00:36.635,bazaarvoice,510,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
343742,213448422,46236,yummie food....!!!,"meow, my mama bought this and we gobbled it right up. bag only lasted 3 days",true,APPROVED,5,0,1,*** PII ***,2019-10-10 20:32:06.000,2019-10-10 21:00:17.000,2023-12-04 18:15:43.335,bazaarvoice,1223,BV_PIE,*** PII ***,10,,2025-06-09 17:23:14.331,Retail
30464643,261978917,214356,,,false,APPROVED,5,0,0,*** PII ***,2025-01-31 05:15:04.000,2025-01-31 05:30:11.000,2025-01-31 05:30:22.148,bazaarvoice,130,ACC,*** PII ***,,,2025-06-09 17:23:14.331,Retail
149379535,235598037,215995,food can covers,Perfect for different size cans and just what I needed for our dog's canned food,true,APPROVED,5,0,0,*** PII ***,2021-11-23 14:16:10.000,2021-11-23 14:46:24.000,2022-02-22 06:53:40.547,bazaarvoice,1193,BV_PIE,*** PII ***,9,Nobody is perfect,2025-06-09 17:23:14.331,Retail
67275065,260719691,214356,,,false,APPROVED,5,0,0,*** PII ***,2025-01-02 19:22:59.000,2025-01-02 19:33:00.000,2025-01-02 19:33:11.351,bazaarvoice,161,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
36697766,256080489,214323,,,false,APPROVED,5,0,0,*** PII ***,2024-09-15 00:00:51.000,2024-09-15 00:15:11.000,2024-09-15 00:15:23.392,bazaarvoice,273,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
59295336,260739168,214051,,,false,APPROVED,3,0,0,*** PII ***,2025-01-02 23:51:57.000,2025-01-03 00:00:19.000,2025-01-03 00:00:30.959,bazaarvoice,159,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
111583162,257445425,213072,,,false,APPROVED,5,0,0,*** PII ***,2024-10-17 12:01:16.000,2024-10-17 12:15:11.000,2024-10-17 12:15:21.287,bazaarvoice,240,LOW_PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
177979803,259001545,215995,,,false,APPROVED,5,0,0,*** PII ***,2024-11-24 21:34:34.000,2024-11-24 21:45:13.000,2024-11-24 22:00:23.513,bazaarvoice,203,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
18517314,248721940,215393,My foster kittens love these inexpensive crinkle balls!,,true,APPROVED,5,0,0,*** PII ***,2023-10-23 20:21:50.000,2023-10-23 20:30:23.000,2023-10-23 20:30:34.415,bazaarvoice,590,PIE,*** PII ***,10,,2025-06-09 17:23:14.331,Retail
186601400,256515307,215995,,,false,APPROVED,5,0,0,*** PII ***,2024-09-25 03:58:46.000,2024-09-25 04:00:17.000,2024-09-25 15:01:14.650,bazaarvoice,263,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
5229607,260590624,213825,,,false,APPROVED,5,0,0,*** PII ***,2025-01-01 08:51:58.000,2025-01-01 09:00:07.000,2025-01-01 09:00:17.651,bazaarvoice,164,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
22971770,258787395,214330,,,false,APPROVED,4,0,0,*** PII ***,2024-11-19 00:28:20.000,2024-11-19 00:30:19.000,2024-11-19 00:30:29.697,bazaarvoice,208,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
929442123,251797761,215393,"SunGrow Kitty Crinkle Balls Indoor Cat Toy, 12 count","I ordered two bags 12, so far the 3 kitties love them, in fact I found only 3 or 4 of them.  They only hide the crinkle balls.

Will buy more in the future.  I have funny kittens, they play all the time with the other ones I have purchased here and elsewhere.",true,APPROVED,5,0,0,*** PII ***,2024-03-20 21:18:48.000,2024-03-20 22:00:27.000,2024-03-20 22:00:38.600,bazaarvoice,438,PIE,*** PII ***,10,"I was recommended by my daughter, so if I can pass it on, I will.",2025-06-09 17:23:14.331,Retail
152015183,257918068,215393,Crinkle,My cat Loves these. He can toss it around and pick them up easily . Bought some for my grand fur babies,false,APPROVED,5,0,0,*** PII ***,2024-10-27 23:30:10.000,2024-10-28 00:00:13.000,2024-10-28 00:00:26.233,bazaarvoice,230,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
16486521,255237090,215995,CAN DO,THESE LIDS WORK PERFECTLY.,true,APPROVED,5,0,0,*** PII ***,2024-08-27 00:06:43.000,2024-08-27 00:30:15.000,2024-08-27 00:30:25.471,bazaarvoice,290,PIE,*** PII ***,8,,2025-06-09 17:23:14.331,Retail
85675739,257973724,222834,,,false,APPROVED,5,0,0,*** PII ***,2024-10-29 10:00:46.000,2024-10-29 10:15:09.000,2024-10-29 10:15:19.600,bazaarvoice,228,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
295126400,257413016,224818,Quick delivery,Medicine for 9yr old dog came in 1 day,false,APPROVED,5,0,0,*** PII ***,2024-10-16 20:52:25.000,2024-10-17 14:31:09.000,2024-10-17 14:31:20.600,bazaarvoice,240,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
11539207,264690204,51377,,,false,APPROVED,5,0,0,*** PII ***,2025-04-16 19:21:19.000,2025-04-16 19:30:44.000,2025-04-16 19:30:55.605,bazaarvoice,55,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
11848287,195031355,51575,Lila loves Zignature,"My lab mix loves the lamb formula, I tried switching to another brand of food & that was a mistake. She didn't hardly eat for an entire week! Finally got our bag at our doorstep & put a bowl of her favorite down & nearly ate the entire bowl!! We won't be switching anytime soon.",true,APPROVED,5,0,4,*** PII ***,2018-01-05 03:09:41.000,2018-01-07 17:00:25.000,2021-11-11 00:26:30.502,bazaarvoice,1223,,*** PII ***,10,,2025-06-09 17:23:14.331,Retail
2101833,242750592,45994,Dogs like it but caused ear infections,"My dogs really like this food and lost weight on it, however, they have had ear infections, red ears, and waxy ears ever since starting this food. My dogs are 3.5 years old and have NEVER had ear problems, but since being on this food their ears have had issues. Not great ingredients. Will be going back to a quality food.",false,APPROVED,2,0,2,*** PII ***,2022-11-07 00:48:13.000,2022-11-07 01:15:15.000,2023-03-08 17:09:57.511,bazaarvoice,960,,*** PII ***,10,Great prices and quick to resolve any issue.,2025-06-09 17:23:14.331,Retail
80626589,258988818,49998,,,false,APPROVED,2,0,0,*** PII ***,2024-11-24 15:12:52.000,2024-11-24 15:15:44.000,2024-11-24 15:15:54.863,bazaarvoice,198,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
262402395,252728604,49950,Perfecto service!!!,,true,APPROVED,5,0,0,*** PII ***,2024-05-04 12:06:24.000,2024-05-04 12:15:14.000,2024-05-04 12:32:41.573,bazaarvoice,386,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
60913919,257111911,49950,,,false,APPROVED,5,0,0,*** PII ***,2024-10-09 12:31:50.000,2024-10-09 12:45:08.000,2024-10-09 13:00:30.417,bazaarvoice,244,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
102965275,233559481,151686,Only Slightly Disappointed,"The bag I received was the old ingredient label. I am hesitant to open it because lentils and peas are listed in the top ingredient panel. I like the variety of fish in this food, it is hard to find a decent food that’s not chicken or beef. I may donate to shelter instead of opening just because I know now grain free doesn’t work for my guys.",true,APPROVED,1,0,0,*** PII ***,2021-08-16 23:17:36.000,2021-08-16 23:45:29.000,2023-12-03 20:00:34.738,bazaarvoice,1213,,*** PII ***,,,2025-06-09 17:23:14.331,Retail
d9ca991c8be221bea396d1554597e8f2,260573389,1513838,Crunchy goodness for the furbabies!,My dogs absolutely loved these treats! They are crunchy and I may have almost lost a finger when giving them to my dogs they were so excited to get them!,true,APPROVED,5,0,0,*** PII ***,2025-01-01 02:09:30.000,2025-01-01 02:30:12.000,2025-04-17 18:45:35.439,bazaarvoice,163,bvsampling_mrchewy_paws_bark_202410_dog_treats_20241210_49bf9614,*** PII ***,10,,2025-06-09 17:23:14.331,Retail
105719593,251872229,149885,Can't recommend,I'm glad that this seems to have helped other's pups. I do agree with most of the reviews that say the instructions are horrible.  It took me an hour with the instructions and a YouTube video to get it put together.  Unfortunately once it was together it didn't help my girl at all.  It didn't keep her back legs off of the ground and was very painful for her.  I had to get her out of it as quickly as I could and won't put her back in.  This will be going on the trash.,false,APPROVED,1,0,7,*** PII ***,2024-03-24 21:47:42.000,2024-03-25 17:17:42.000,2025-05-25 06:54:49.168,bazaarvoice,435,,*** PII ***,,,2025-06-09 17:23:14.331,Retail
2731628,259697797,150315,,,false,APPROVED,5,0,0,*** PII ***,2024-12-11 21:28:41.000,2024-12-11 21:30:17.000,2024-12-12 16:31:15.047,bazaarvoice,187,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
930343557,255347194,153747,,,false,APPROVED,5,0,0,*** PII ***,2024-08-29 23:51:08.000,2024-08-30 00:00:09.000,2024-08-30 00:15:24.914,bazaarvoice,281,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
9196387,258793618,152386,My pup loves the PB!,"I only wish these things didn’t smell like a barnyard. My dog loves these chews. It’s great to give him one when I know I’ll be gone for a couple hours and he’s tuckered out when I get back, from getting the PB out!",false,APPROVED,5,0,1,*** PII ***,2024-11-19 03:13:35.000,2024-11-19 03:30:10.000,2025-01-14 03:51:26.078,bazaarvoice,209,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
74407989,213862661,153042,Bling bling,"The tag was really nice and great quality.

Not heavy and easy too place on collar.",true,APPROVED,5,0,4,*** PII ***,2019-10-26 22:13:34.000,2019-10-28 15:45:23.000,2021-04-14 18:29:44.082,bazaarvoice,1239,,*** PII ***,10,,2025-06-09 17:23:14.331,Retail
911979232,255728038,152845,,,false,APPROVED,5,0,0,*** PII ***,2024-09-06 09:19:40.000,2024-09-06 09:30:08.000,2024-09-06 09:30:19.179,bazaarvoice,282,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
97719066,227598219,155114,not durable,"My 8 month old cockapoo had the face ripped open and stuffing out in no time. Very disappointing, especially at that price. 
The body seemed durable but definitely not the face.",false,APPROVED,1,0,0,*** PII ***,2021-01-07 01:55:07.000,2021-01-07 03:15:17.000,2021-04-07 05:48:54.410,bazaarvoice,1238,,*** PII ***,,,2025-06-09 17:23:14.331,Retail
889357231,262010235,152900,,,false,APPROVED,5,0,0,*** PII ***,2025-02-01 00:11:45.000,2025-02-01 00:15:08.000,2025-02-01 00:30:28.528,bazaarvoice,129,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
270434032,255356878,146284,,,false,APPROVED,4,0,0,*** PII ***,2024-08-30 02:29:32.000,2024-08-30 02:30:12.000,2024-08-30 02:30:23.791,bazaarvoice,221,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
8934321,158498271,99167,My cats love playing in this,They have a lot of fun chasing each other and just being inside for a place to hide. I would recommend this.,true,APPROVED,5,0,3,*** PII ***,2016-11-05 21:47:32.000,2016-11-05 23:15:13.000,2025-05-10 22:15:21.356,bazaarvoice,1253,BV_PIE,*** PII ***,10,,2025-06-09 17:23:14.331,Retail
75393889,259269458,99552,,,false,APPROVED,5,0,0,*** PII ***,2024-12-02 01:03:49.000,2024-12-02 01:15:13.000,2024-12-02 01:15:25.874,bazaarvoice,201,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
155879299,265452059,1060558,How fast it works,Solved the problem  quickly  my fur baby back to  peppy pup in one day,false,APPROVED,5,0,2,*** PII ***,2025-05-15 01:20:32.000,2025-05-15 01:45:17.000,2025-05-30 05:18:29.399,bazaarvoice,26,PIE,*** PII ***,,,2025-06-09 17:23:14.331,Retail
